time,BTC_high,BTC_low,BTC_open,BTC_volumefrom,BTC_volumeto,BTC_close,BTC_conversionType,BTC_conversionSymbol,ETH_high,ETH_low,ETH_open,ETH_volumefrom,ETH_volumeto,ETH_close,ETH_conversionType,ETH_conversionSymbol,BCH_high,BCH_low,BCH_open,BCH_volumefrom,BCH_volumeto,BCH_close,BCH_conversionType,BCH_conversionSymbol,LTC_high,LTC_low,LTC_open,LTC_volumefrom,LTC_volumeto,LTC_close,LTC_conversionType,LTC_conversionSymbol
2018-05-08,9472.09,9063.07,9377.08,72659.12,673924125.29,9196.13,direct,,775.38,720.36,752.39,510303.7,380893335.71,747.79,direct,,1694.87,1550.7,1651.39,82318.43,132524367.42,1599.52,direct,,168.16,157.31,164.24,478625.24,77383969.12,159.04,direct,
2018-05-09,9373.46,8987.27,9196.13,67939.11,625495066.08,9321.16,direct,,759.91,709.78,747.79,464189.13,341691727.41,751.27,direct,,1676.39,1459.67,1599.52,101081.14,158636690.72,1626.63,direct,,161.63,156.6,159.37,908204.75,142474731.68,156.88,multiply,BTC
2018-05-10,9393.95,9017.13,9321.52,67915.99,629850604.12,9032.22,direct,,767.22,722.65,751.27,383612.95,287536989.76,723.61,direct,,1603.22,1511.99,1628.47,175726.02,267759977.41,1523.74,multiply,BTC,155.17,148.13,156.88,900127.83,133578407.03,148.4,multiply,BTC
2018-05-11,9032.27,8363.5,9032.22,134727.27,1176888629.2,8421.0,direct,,735.97,665.49,723.63,748412.09,518848404.01,677.8,direct,,1556.67,1309.56,1519.84,178033.35,250733936.31,1367.01,direct,,148.52,133.56,148.24,823339.72,116335404.31,136.47,direct,
2018-05-12,8653.8,8225.97,8420.82,92805.87,783972252.35,8486.67,direct,,690.88,638.47,677.8,487345.93,324590855.24,683.64,direct,,1503.59,1269.17,1367.01,137793.68,192556727.8,1458.55,direct,,144.75,131.53,136.47,462749.72,64058613.96,141.82,direct,
2018-05-13,8773.96,8350.91,8488.07,61066.94,525395861.86,8709.46,direct,,740.02,669.96,683.64,385804.48,274037817.61,729.34,direct,,1503.25,1464.06,1459.95,158542.12,235153007.79,1483.22,multiply,BTC,146.41,141.62,141.92,806416.2,116799967.47,144.84,multiply,BTC
2018-05-14,8883.0,8312.72,8709.46,101370.46,874543293.99,8672.9,direct,,741.82,685.75,729.34,632807.6,453297981.45,727.41,direct,,1493.79,1329.13,1478.75,115812.58,163658298.77,1412.97,direct,,152.8,134.53,144.41,866068.87,124684754.66,147.39,direct,
2018-05-15,8848.69,8441.25,8672.88,84517.8,730739738.9,8480.16,direct,,738.53,695.3,727.41,398394.01,287313625.77,705.64,direct,,1453.09,1310.74,1412.97,96570.2,133975697.39,1337.53,direct,,149.65,137.92,147.39,517545.12,74327593.06,139.56,direct,
2018-05-16,8501.65,8119.17,8480.16,95203.5,789660713.22,8344.78,direct,,710.26,676.6,705.64,362472.35,251185347.62,706.72,direct,,1355.91,1216.59,1337.53,102588.55,129995294.09,1280.11,direct,,139.69,136.44,139.5,748962.01,104186219.77,139.11,multiply,BTC
2018-05-17,8476.45,8015.77,8342.69,74445.77,615539512.71,8071.04,direct,,718.31,661.81,706.71,352700.81,244822300.73,668.38,direct,,1344.04,1166.47,1280.11,85008.97,106796700.65,1192.88,direct,,135.84,132.12,139.07,692712.46,91914559.96,132.69,multiply,BTC
